Content Type,Extracted Data,Extra Info / Link
Link,'Engineered for Growwth': Groww Shares Rally Over 6% As BofA Initiates Coverage,https://www.ndtvprofit.com/markets/engineered-for-growwth-groww-share-price-rallies-as-bofa-initiates-coverage-with-21-percent-upside-11359167
Link,"Gold, Silver Rates On April 15: Check Prices In Mumbai, Delhi, Chennai, Kolkata, Bangalore",https://www.ndtvprofit.com/markets/gold-silver-rates-on-april-15-check-prices-in-mumbai-delhi-chennai-kolkata-bangalore-11359165
Link,Soumil Kamat,https://www.ndtv.com/agencies/soumil-kamat-8748
Link,Soumil Kamat,https://www.ndtv.com/agencies/soumil-kamat-8748
Link,"Student Posts WhatsApp Chat Of Teacher Inviting Him To Movie, Internet Slams ""Unprofessional"" Behaviour",https://www.ndtv.com/offbeat/student-posts-whatsapp-chat-of-teacher-inviting-him-to-movie-internet-slams-unprofessional-behaviour-11359160
Link,"MS Dhoni The Man Behind Noor Ahmad's Match-Winning Show vs KKR, Coach Explains How",https://sports.ndtv.com/cricket/ms-dhoni-the-man-behind-noor-ahmads-match-winning-show-vs-kkr-coach-explains-how-11359157
Link,NDTV Sports Desk,https://www.ndtv.com/authors/ndtv-sports-desk-5636
Link,"Iran War 'Close To Over,' Says Trump",https://www.ndtvprofit.com/world/iran-war-close-to-over-says-us-president-donald-trump-11359150
Link,Press Trust of India,https://www.ndtv.com/agencies/press-trust-of-india-21
Link,MP Board To Declare Class 10 & 12 Results Today @11 AM On mpbse.mponline.gov.in,https://www.ndtvprofit.com/india/mp-board-to-declare-class-10-and-12-results-today-11-am-on-mpbse-mponline-gov-in-11359110
Link,Vikrant Durgale,https://www.ndtv.com/agencies/vikrant-durgale-15718
Link,Vishal Marathe,https://www.ndtv.com/agencies/vishal-marathe-7621
Link,NDTV Profit Trending Desk,https://www.ndtv.com/agencies/ndtv-profit-trending-desk-8426
Link,HG Infra Shares Zoom Almost 15% In Trade Today — Here's Why,https://www.ndtvprofit.com/markets/hg-infra-shares-zoom-almost-15-in-trade-today-heres-why-11359117
Link,Doctor Explains How Ashwagandha May Reduce Belly Fat Linked To Stress,https://www.ndtv.com/health/doctor-explains-how-ashwagandha-may-reduce-belly-fat-linked-to-stress-11357269
Link,Rupashi Chhabra,https://www.ndtv.com/authors/rupashi-chhabra-8808
Link,"AP Inter 1st, 2nd Year Result 2026 To Be Out At 10:31 AM, Here's How To Check Your Scores Via NDTV",https://www.ndtv.com/education/ap-inter-1st-2nd-year-result-2026-check-your-scores-via-ndtv-11359085
Link,LIC Shares Rise After Board Approves Maiden Bonus Issue,https://www.ndtvprofit.com/markets/lic-shares-rise-after-board-approves-maiden-bonus-issue-11359074
Link,Shubhayan Bhattacharya,https://www.ndtv.com/agencies/shubhayan-bhattacharya-6634
Link,Shubhayan Bhattacharya,https://www.ndtv.com/agencies/shubhayan-bhattacharya-6634
Link,11-Year-Old Chained To Wooden Log For Not Attending Madrasa Regularly In Andhra,https://www.ndtv.com/andhra-pradesh-news/11-year-old-chained-to-wooden-log-for-not-attending-madrasa-regularly-in-andhra-pradesh-11359053
Link,Ashish Kumar Pandey,https://www.ndtv.com/authors/ashish-kumar-pandey-8728
Link,"MPBSE MP board 10th, 12th Result: Check Official Website, Direct Link To Download",https://www.ndtv.com/education/mpbse-10th-12th-results-2026-check-official-website-direct-link-to-download-11359047
Link,Rahul Kumar,https://www.ndtv.com/authors/rahul-kumar-5731
Link,ICICI Prudential AMC Shares Tumble Over 3% Despite In-Line Q4 Results,https://www.ndtvprofit.com/markets/icici-prudential-amc-share-price-tumbles-over-3-percent-despite-in-line-q4-results-11359029
Link,Noida Workers' Protest: Tata Motors To Dixon — Companies Most Impacted,https://www.ndtvprofit.com/markets/noida-workers-protest-tata-motors-to-dixon-companies-most-impacted-11359022
Link,Indostar Capital Finance Shares in Focus as Motilal Oswal Sees Strong FY28 Runway — Check Target Price,https://www.ndtvprofit.com/markets/indostar-capital-finance-shares-in-focus-as-motilal-oswal-sees-strong-fy28-runway-check-target-price-11359017
Link,Motilal Oswal Financial Services,https://www.ndtv.com/agencies/motilal-oswal-financial-services-6633
Link,Trending News,https://www.ndtv.com/trends
Link,"Sanctioned Tanker Fails To Break Through US Blockade, Turns Back To Hormuz",https://www.ndtv.com/world-news/sanctioned-tanker-fails-to-break-through-us-blockade-turns-back-to-hormuz-11358598
Link,"Maharashtra Man Sexually Exploits 180 Minors, Shoots 350 Videos, Arrested",https://www.ndtv.com/india-news/maharashtra-man-sexually-exploits-180-minors-shoots-350-videos-arrested-11357933
Link,"Switched Planes, Took Bus: Team Iran Claims Threats After Failed US Talks",https://www.ndtv.com/world-news/us-iran-war-news-iranian-delegations-return-from-pakistan-amid-security-threat-switched-planes-took-bus-train-11358680
Link,"'Act Against HR Executive': Mohandas Pai On 'Conversion', Harassment At TCS",https://www.ndtv.com/india-news/act-against-hr-executive-tv-mohandas-pai-on-conversion-and-harassment-at-nashik-tcs-11358006
Link,US May Be Eyeing Strait Of Malacca After Hormuz. Why It Matters To India,https://www.ndtv.com/world-news/us-may-be-eyeing-strait-of-malacca-after-hormuz-why-it-matters-to-india-11357758
Link,Latest News,https://www.ndtv.com/latest
Link,Education News,https://www.ndtv.com/education
Link,Business News,https://www.ndtv.com/business-news
Link,Sports News,https://sports.ndtv.com/
Link,US Iran War LIVE,https://www.ndtv.com/world-news/us-iran-war-news-live-updates-2nd-round-of-ceasefire-donald-trump-jd-vance-on-us-iran-mistrust-israel-lebanon-talks-pakistan-talks-strait-of-hormuz-11358654
Link,TCS Conversion Case,https://www.ndtv.com/india-news/act-against-hr-executive-tv-mohandas-pai-on-conversion-and-harassment-at-nashik-tcs-11358006
Link,Trump Modi Call,https://www.ndtv.com/world-news/pm-modi-speaks-to-donald-trump-call-lasted-40-minutes-11356999
Link,MP Board Result 2026 LIVE,https://www.ndtv.com/education/mp-board-class-10th-12th-result-2026-live-updates-result-direct-link-toppers-list-download-scorecard-check-pass-percentage-marks-11358770
Link,AP Inter Result 2026 LIVE,https://www.ndtv.com/education/ap-inter-1st-2nd-year-result-2026-live-updates-result-direct-link-toppers-list-download-marks-memo-pass-percentage-11358704
Link,EPG Services,https://www.ndtv.com/sites/ureqa-epg-ott/
